id_transacao; id_produto;nome_produto;marca;fornecedor ;departamento;categoria;valor
25;3664.17;produto id3664.17;produto da marca 3664;fornecedor prod3664;bazar;bebida;326.73
26;4530.37;produto id4530.37;produto da marca 4530;fornecedor prod4530;mercearia;chocolate;90.36
27;1297.07;produto id1297.07;produto da marca 1297;fornecedor prod1297;bazar;roupa;158.01
28;3174.72;produto id3174.72;produto da marca 3175;fornecedor prod3175;mercearia;bebida;207.65
29;5835.04;produto id5835.04;produto da marca 5835;fornecedor prod5835;bazar;chocolate;5.08
30;5158.85;produto id5158.85;produto da marca 5159;fornecedor prod5159;mercearia;roupa;161.79
31;5226.34;produto id5226.34;produto da marca 5226;fornecedor prod5226;bazar;bebida;102.00
32;1302.71;produto id1302.71;produto da marca 1303;fornecedor prod1303;mercearia;chocolate;254.33
33;1176.65;produto id1176.65;produto da marca 1177;fornecedor prod1177;bazar;roupa;202.63
34;5513.57;produto id5513.57;produto da marca 5514;fornecedor prod5514;mercearia;bebida;305.92
35;2826.03;produto id2826.03;produto da marca 2826;fornecedor prod2826;bazar;chocolate;192.56
36;4166.68;produto id4166.68;produto da marca 4167;fornecedor prod4167;mercearia;roupa;213.05
37;3727.53;produto id3727.53;produto da marca 3728;fornecedor prod3728;bazar;bebida;226.27
38;1485.10;produto id1485.10;produto da marca 1485;fornecedor prod1485;mercearia;chocolate;171.84
39;4417.64;produto id4417.64;produto da marca 4418;fornecedor prod4418;bazar;roupa;87.89
40;1748.03;produto id1748.03;produto da marca 1748;fornecedor prod1748;mercearia;bebida;284.06
41;238.39;produto id238.39;produto da marca 238;fornecedor prod238;bazar;chocolate;35.08
42;3651.52;produto id3651.52;produto da marca 3652;fornecedor prod3652;mercearia;roupa;99.53
43;5651.76;produto id5651.76;produto da marca 5652;fornecedor prod5652;bazar;bebida;106.25
44;4181.99;produto id4181.99;produto da marca 4182;fornecedor prod4182;mercearia;chocolate;213.49
45;4450.31;produto id4450.31;produto da marca 4450;fornecedor prod4450;bazar;roupa;203.25
46;4153.61;produto id4153.61;produto da marca 4154;fornecedor prod4154;mercearia;bebida;48.44
47;5030.67;produto id5030.67;produto da marca 5031;fornecedor prod5031;bazar;chocolate;256.82
48;788.77;produto id788.77;produto da marca 789;fornecedor prod789;mercearia;roupa;168.17
49;2234.87;produto id2234.87;produto da marca 2235;fornecedor prod2235;bazar;bebida;68.29
50;844.41;produto id844.41;produto da marca 844;fornecedor prod844;mercearia;chocolate;227.79
51;1751.91;produto id1751.91;produto da marca 1752;fornecedor prod1752;bazar;roupa;129.69
52;4289.19;produto id4289.19;produto da marca 4289;fornecedor prod4289;mercearia;bebida;435.44
53;2984.61;produto id2984.61;produto da marca 2985;fornecedor prod2985;bazar;chocolate;20.65
54;2253.41;produto id2253.41;produto da marca 2253;fornecedor prod2253;mercearia;roupa;297.65
55;1363.71;produto id1363.71;produto da marca 1364;fornecedor prod1364;bazar;bebida;251.52
56;552.25;produto id552.25;produto da marca 552;fornecedor prod552;mercearia;chocolate;185.76
57;4129.51;produto id4129.51;produto da marca 4130;fornecedor prod4130;bazar;roupa;110.13
58;2980.64;produto id2980.64;produto da marca 2981;fornecedor prod2981;mercearia;bebida;150.00
59;5103.09;produto id5103.09;produto da marca 5103;fornecedor prod5103;bazar;chocolate;300.61
60;1463.05;produto id1463.05;produto da marca 1463;fornecedor prod1463;mercearia;roupa;83.57
61;3041.46;produto id3041.46;produto da marca 3041;fornecedor prod3041;bazar;bebida;525.50
62;4873.63;produto id4873.63;produto da marca 4874;fornecedor prod4874;mercearia;chocolate;125.70
63;3299.79;produto id3299.79;produto da marca 3300;fornecedor prod3300;bazar;roupa;182.04
64;3986.42;produto id3986.42;produto da marca 3986;fornecedor prod3986;mercearia;bebida;113.14
65;5722.84;produto id5722.84;produto da marca 5723;fornecedor prod5723;bazar;chocolate;13.59
66;574.33;produto id574.33;produto da marca 574;fornecedor prod574;mercearia;roupa;55.45
67;5702.40;produto id5702.40;produto da marca 5702;fornecedor prod5702;bazar;bebida;248.85
68;1706.40;produto id1706.40;produto da marca 1706;fornecedor prod1706;mercearia;chocolate;189.42
69;3673.84;produto id3673.84;produto da marca 3674;fornecedor prod3674;bazar;roupa;258.62
70;868.08;produto id868.08;produto da marca 868;fornecedor prod868;mercearia;bebida;574.60
71;3287.52;produto id3287.52;produto da marca 3288;fornecedor prod3288;bazar;chocolate;241.81
72;2319.56;produto id2319.56;produto da marca 2320;fornecedor prod2320;mercearia;roupa;52.02
73;4511.32;produto id4511.32;produto da marca 4511;fornecedor prod4511;bazar;bebida;327.63
74;4510.81;produto id4510.81;produto da marca 4511;fornecedor prod4511;mercearia;chocolate;127.33
75;5496.08;produto id5496.08;produto da marca 5496;fornecedor prod5496;bazar;roupa;153.36
76;4110.36;produto id4110.36;produto da marca 4110;fornecedor prod4110;mercearia;bebida;381.09
77;522.55;produto id522.55;produto da marca 523;fornecedor prod523;bazar;chocolate;225.34
78;1803.38;produto id1803.38;produto da marca 1803;fornecedor prod1803;mercearia;roupa;280.11
79;3498.13;produto id3498.13;produto da marca 3498;fornecedor prod3498;bazar;bebida;390.63
80;5898.05;produto id5898.05;produto da marca 5898;fornecedor prod5898;mercearia;chocolate;182.59
81;5570.47;produto id5570.47;produto da marca 5570;fornecedor prod5570;bazar;roupa;75.92
82;1907.84;produto id1907.84;produto da marca 1908;fornecedor prod1908;mercearia;bebida;285.53
83;1416.36;produto id1416.36;produto da marca 1416;fornecedor prod1416;bazar;chocolate;165.26
84;5905.04;produto id5905.04;produto da marca 5905;fornecedor prod5905;mercearia;roupa;232.50
85;1528.45;produto id1528.45;produto da marca 1528;fornecedor prod1528;bazar;bebida;364.56
86;703.16;produto id703.16;produto da marca 703;fornecedor prod703;mercearia;chocolate;57.18
87;5187.70;produto id5187.70;produto da marca 5188;fornecedor prod5188;bazar;roupa;274.01
88;4905.42;produto id4905.42;produto da marca 4905;fornecedor prod4905;mercearia;bebida;498.83
89;5604.14;produto id5604.14;produto da marca 5604;fornecedor prod5604;bazar;chocolate;37.02
90;1402.80;produto id1402.80;produto da marca 1403;fornecedor prod1403;mercearia;roupa;231.57
91;5533.91;produto id5533.91;produto da marca 5534;fornecedor prod5534;bazar;bebida;357.94
92;2969.80;produto id2969.80;produto da marca 2970;fornecedor prod2970;mercearia;chocolate;238.29
93;2039.05;produto id2039.05;produto da marca 2039;fornecedor prod2039;bazar;roupa;60.99
94;3990.85;produto id3990.85;produto da marca 3991;fornecedor prod3991;mercearia;bebida;270.54
95;3853.61;produto id3853.61;produto da marca 3854;fornecedor prod3854;bazar;chocolate;32.82
96;878.26;produto id878.26;produto da marca 878;fornecedor prod878;mercearia;roupa;97.06
97;5945.61;produto id5945.61;produto da marca 5946;fornecedor prod5946;bazar;bebida;500.96
98;4089.12;produto id4089.12;produto da marca 4089;fornecedor prod4089;mercearia;chocolate;218.04
99;5141.96;produto id5141.96;produto da marca 5142;fornecedor prod5142;bazar;roupa;109.74
100;5729.65;produto id5729.65;produto da marca 5730;fornecedor prod5730;mercearia;bebida;545.80
101;3914.88;produto id3914.88;produto da marca 3915;fornecedor prod3915;bazar;chocolate;74.57
102;752.30;produto id752.30;produto da marca 752;fornecedor prod752;mercearia;roupa;248.95
103;1189.04;produto id1189.04;produto da marca 1189;fornecedor prod1189;bazar;bebida;468.68
104;5307.06;produto id5307.06;produto da marca 5307;fornecedor prod5307;mercearia;chocolate;187.72
105;1548.76;produto id1548.76;produto da marca 1549;fornecedor prod1549;bazar;roupa;151.83
106;832.07;produto id832.07;produto da marca 832;fornecedor prod832;mercearia;bebida;292.98
107;2511.17;produto id2511.17;produto da marca 2511;fornecedor prod2511;bazar;chocolate;242.79
108;4199.03;produto id4199.03;produto da marca 4199;fornecedor prod4199;mercearia;roupa;60.64
109;2386.70;produto id2386.70;produto da marca 2387;fornecedor prod2387;bazar;bebida;203.33
110;3299.91;produto id3299.91;produto da marca 3300;fornecedor prod3300;mercearia;chocolate;249.20
111;2541.75;produto id2541.75;produto da marca 2542;fornecedor prod2542;bazar;roupa;270.58
112;5500.65;produto id5500.65;produto da marca 5501;fornecedor prod5501;mercearia;bebida;567.50
113;3392.58;produto id3392.58;produto da marca 3393;fornecedor prod3393;bazar;chocolate;227.65
114;2084.04;produto id2084.04;produto da marca 2084;fornecedor prod2084;mercearia;roupa;207.67
115;4806.90;produto id4806.90;produto da marca 4807;fornecedor prod4807;bazar;bebida;348.16
116;2663.26;produto id2663.26;produto da marca 2663;fornecedor prod2663;mercearia;chocolate;129.08
117;4163.81;produto id4163.81;produto da marca 4164;fornecedor prod4164;bazar;roupa;121.28
118;4618.11;produto id4618.11;produto da marca 4618;fornecedor prod4618;mercearia;bebida;178.85
119;5755.12;produto id5755.12;produto da marca 5755;fornecedor prod5755;bazar;chocolate;136.26
120;1453.41;produto id1453.41;produto da marca 1453;fornecedor prod1453;mercearia;roupa;123.86
121;1179.60;produto id1179.60;produto da marca 1180;fornecedor prod1180;bazar;bebida;282.30
122;3163.79;produto id3163.79;produto da marca 3164;fornecedor prod3164;mercearia;chocolate;3.99
123;2865.37;produto id2865.37;produto da marca 2865;fornecedor prod2865;bazar;roupa;74.14
124;153.70;produto id153.70;produto da marca 154;fornecedor prod154;mercearia;bebida;131.40
125;3601.88;produto id3601.88;produto da marca 3602;fornecedor prod3602;bazar;chocolate;110.95
126;2241.25;produto id2241.25;produto da marca 2241;fornecedor prod2241;mercearia;roupa;173.60
127;1013.09;produto id1013.09;produto da marca 1013;fornecedor prod1013;bazar;bebida;578.18
128;3107.06;produto id3107.06;produto da marca 3107;fornecedor prod3107;mercearia;chocolate;76.38
129;3369.92;produto id3369.92;produto da marca 3370;fornecedor prod3370;bazar;roupa;142.74
130;945.14;produto id945.14;produto da marca 945;fornecedor prod945;mercearia;bebida;238.38
131;5894.57;produto id5894.57;produto da marca 5895;fornecedor prod5895;bazar;chocolate;219.89
132;157.74;produto id157.74;produto da marca 158;fornecedor prod158;mercearia;roupa;111.04
133;5814.31;produto id5814.31;produto da marca 5814;fornecedor prod5814;bazar;bebida;589.53
134;5211.04;produto id5211.04;produto da marca 5211;fornecedor prod5211;mercearia;chocolate;53.15
135;5951.58;produto id5951.58;produto da marca 5952;fornecedor prod5952;bazar;roupa;247.69
136;5848.21;produto id5848.21;produto da marca 5848;fornecedor prod5848;mercearia;bebida;80.18
137;4036.49;produto id4036.49;produto da marca 4036;fornecedor prod4036;bazar;chocolate;15.50
138;3648.23;produto id3648.23;produto da marca 3648;fornecedor prod3648;mercearia;roupa;230.42
139;5252.78;produto id5252.78;produto da marca 5253;fornecedor prod5253;bazar;bebida;112.01
140;3742.69;produto id3742.69;produto da marca 3743;fornecedor prod3743;mercearia;chocolate;73.53
141;3157.86;produto id3157.86;produto da marca 3158;fornecedor prod3158;bazar;roupa;172.55
142;105.21;produto id105.21;produto da marca 105;fornecedor prod105;mercearia;bebida;395.97
143;5500.74;produto id5500.74;produto da marca 5501;fornecedor prod5501;bazar;chocolate;271.76
144;4788.00;produto id4788.00;produto da marca 4788;fornecedor prod4788;mercearia;roupa;241.34
145;2756.31;produto id2756.31;produto da marca 2756;fornecedor prod2756;bazar;bebida;564.73
146;945.39;produto id945.39;produto da marca 945;fornecedor prod945;mercearia;chocolate;57.92
147;1467.44;produto id1467.44;produto da marca 1467;fornecedor prod1467;bazar;roupa;166.30
148;4928.97;produto id4928.97;produto da marca 4929;fornecedor prod4929;mercearia;bebida;274.12
149;2608.94;produto id2608.94;produto da marca 2609;fornecedor prod2609;bazar;chocolate;206.57
150;4817.36;produto id4817.36;produto da marca 4817;fornecedor prod4817;mercearia;roupa;44.26
151;2375.79;produto id2375.79;produto da marca 2376;fornecedor prod2376;bazar;bebida;46.93
152;2466.06;produto id2466.06;produto da marca 2466;fornecedor prod2466;mercearia;chocolate;292.58
153;819.20;produto id819.20;produto da marca 819;fornecedor prod819;bazar;roupa;272.95
154;5247.70;produto id5247.70;produto da marca 5248;fornecedor prod5248;mercearia;bebida;316.97
155;5659.86;produto id5659.86;produto da marca 5660;fornecedor prod5660;bazar;chocolate;64.21
156;60.74;produto id60.74;produto da marca 61;fornecedor prod61;mercearia;roupa;188.81
157;3213.25;produto id3213.25;produto da marca 3213;fornecedor prod3213;bazar;bebida;134.69
158;5555.00;produto id5555.00;produto da marca 5555;fornecedor prod5555;mercearia;chocolate;130.23
159;1597.47;produto id1597.47;produto da marca 1597;fornecedor prod1597;bazar;roupa;289.30
160;137.77;produto id137.77;produto da marca 138;fornecedor prod138;mercearia;bebida;131.96
161;476.79;produto id476.79;produto da marca 477;fornecedor prod477;bazar;chocolate;143.10
162;5700.02;produto id5700.02;produto da marca 5700;fornecedor prod5700;mercearia;roupa;140.09
163;4995.40;produto id4995.40;produto da marca 4995;fornecedor prod4995;bazar;bebida;218.78
164;4580.25;produto id4580.25;produto da marca 4580;fornecedor prod4580;mercearia;chocolate;177.24
165;4531.45;produto id4531.45;produto da marca 4531;fornecedor prod4531;bazar;roupa;101.57
166;4203.12;produto id4203.12;produto da marca 4203;fornecedor prod4203;mercearia;bebida;179.29
167;2926.95;produto id2926.95;produto da marca 2927;fornecedor prod2927;bazar;chocolate;63.80
168;1696.64;produto id1696.64;produto da marca 1697;fornecedor prod1697;mercearia;roupa;284.13
169;691.98;produto id691.98;produto da marca 692;fornecedor prod692;bazar;bebida;116.49
170;1459.65;produto id1459.65;produto da marca 1460;fornecedor prod1460;mercearia;chocolate;226.01
171;5099.09;produto id5099.09;produto da marca 5099;fornecedor prod5099;bazar;roupa;109.81
172;1591.68;produto id1591.68;produto da marca 1592;fornecedor prod1592;mercearia;bebida;37.87
173;3292.01;produto id3292.01;produto da marca 3292;fornecedor prod3292;bazar;chocolate;58.52
174;1120.42;produto id1120.42;produto da marca 1120;fornecedor prod1120;mercearia;roupa;89.38
175;4063.63;produto id4063.63;produto da marca 4064;fornecedor prod4064;bazar;bebida;403.17
176;3078.61;produto id3078.61;produto da marca 3079;fornecedor prod3079;mercearia;chocolate;175.37
177;2792.28;produto id2792.28;produto da marca 2792;fornecedor prod2792;bazar;roupa;111.41
178;5251.57;produto id5251.57;produto da marca 5252;fornecedor prod5252;mercearia;bebida;250.62
179;1540.38;produto id1540.38;produto da marca 1540;fornecedor prod1540;bazar;chocolate;100.94
180;5616.03;produto id5616.03;produto da marca 5616;fornecedor prod5616;mercearia;roupa;70.73
181;4987.52;produto id4987.52;produto da marca 4988;fornecedor prod4988;bazar;bebida;520.98
182;2513.20;produto id2513.20;produto da marca 2513;fornecedor prod2513;mercearia;chocolate;66.72
183;2919.39;produto id2919.39;produto da marca 2919;fornecedor prod2919;bazar;roupa;211.74
184;1433.02;produto id1433.02;produto da marca 1433;fornecedor prod1433;mercearia;bebida;421.91
185;3216.42;produto id3216.42;produto da marca 3216;fornecedor prod3216;bazar;chocolate;187.74
186;1159.66;produto id1159.66;produto da marca 1160;fornecedor prod1160;mercearia;roupa;262.97
187;5849.74;produto id5849.74;produto da marca 5850;fornecedor prod5850;bazar;bebida;384.89
188;4592.47;produto id4592.47;produto da marca 4592;fornecedor prod4592;mercearia;chocolate;134.99
189;434.58;produto id434.58;produto da marca 435;fornecedor prod435;bazar;roupa;165.96
190;893.63;produto id893.63;produto da marca 894;fornecedor prod894;mercearia;bebida;257.83
191;998.05;produto id998.05;produto da marca 998;fornecedor prod998;bazar;chocolate;123.68
192;3167.92;produto id3167.92;produto da marca 3168;fornecedor prod3168;mercearia;roupa;59.95
193;3623.75;produto id3623.75;produto da marca 3624;fornecedor prod3624;bazar;bebida;238.45
194;2629.34;produto id2629.34;produto da marca 2629;fornecedor prod2629;mercearia;chocolate;269.88
195;2422.31;produto id2422.31;produto da marca 2422;fornecedor prod2422;bazar;roupa;165.05
196;3260.07;produto id3260.07;produto da marca 3260;fornecedor prod3260;mercearia;bebida;579.33
197;1003.26;produto id1003.26;produto da marca 1003;fornecedor prod1003;bazar;chocolate;70.62
198;2231.48;produto id2231.48;produto da marca 2231;fornecedor prod2231;mercearia;roupa;52.77
199;4035.78;produto id4035.78;produto da marca 4036;fornecedor prod4036;bazar;bebida;148.74
200;3641.19;produto id3641.19;produto da marca 3641;fornecedor prod3641;mercearia;chocolate;196.18
201;4347.47;produto id4347.47;produto da marca 4347;fornecedor prod4347;bazar;roupa;111.60
202;632.08;produto id632.08;produto da marca 632;fornecedor prod632;mercearia;bebida;394.21
203;2920.67;produto id2920.67;produto da marca 2921;fornecedor prod2921;bazar;chocolate;39.86
204;5400.37;produto id5400.37;produto da marca 5400;fornecedor prod5400;mercearia;roupa;82.17
205;4238.56;produto id4238.56;produto da marca 4239;fornecedor prod4239;bazar;bebida;596.87
206;3412.06;produto id3412.06;produto da marca 3412;fornecedor prod3412;mercearia;chocolate;135.75
207;133.44;produto id133.44;produto da marca 133;fornecedor prod133;bazar;roupa;205.26
208;2856.58;produto id2856.58;produto da marca 2857;fornecedor prod2857;mercearia;bebida;338.80
209;2670.79;produto id2670.79;produto da marca 2671;fornecedor prod2671;bazar;chocolate;166.98
210;3076.42;produto id3076.42;produto da marca 3076;fornecedor prod3076;mercearia;roupa;94.65
211;4170.12;produto id4170.12;produto da marca 4170;fornecedor prod4170;bazar;bebida;542.56
212;923.38;produto id923.38;produto da marca 923;fornecedor prod923;mercearia;chocolate;284.95
213;5572.38;produto id5572.38;produto da marca 5572;fornecedor prod5572;bazar;roupa;264.29
214;4624.24;produto id4624.24;produto da marca 4624;fornecedor prod4624;mercearia;bebida;93.15
215;4291.04;produto id4291.04;produto da marca 4291;fornecedor prod4291;bazar;chocolate;217.52
216;5058.59;produto id5058.59;produto da marca 5059;fornecedor prod5059;mercearia;roupa;134.81
217;1613.16;produto id1613.16;produto da marca 1613;fornecedor prod1613;bazar;bebida;544.93
218;3878.68;produto id3878.68;produto da marca 3879;fornecedor prod3879;mercearia;chocolate;60.50
219;712.83;produto id712.83;produto da marca 713;fornecedor prod713;bazar;roupa;171.73
220;5689.99;produto id5689.99;produto da marca 5690;fornecedor prod5690;mercearia;bebida;195.57
221;3104.06;produto id3104.06;produto da marca 3104;fornecedor prod3104;bazar;chocolate;202.94
222;1407.39;produto id1407.39;produto da marca 1407;fornecedor prod1407;mercearia;roupa;74.66
223;5085.98;produto id5085.98;produto da marca 5086;fornecedor prod5086;bazar;bebida;574.32
224;2600.69;produto id2600.69;produto da marca 2601;fornecedor prod2601;mercearia;chocolate;164.64
225;570.42;produto id570.42;produto da marca 570;fornecedor prod570;bazar;roupa;208.24
226;4368.35;produto id4368.35;produto da marca 4368;fornecedor prod4368;mercearia;bebida;409.88
227;4529.68;produto id4529.68;produto da marca 4530;fornecedor prod4530;bazar;chocolate;119.40
228;2397.15;produto id2397.15;produto da marca 2397;fornecedor prod2397;mercearia;roupa;65.61
229;5894.43;produto id5894.43;produto da marca 5894;fornecedor prod5894;bazar;bebida;500.78
230;42.58;produto id42.58;produto da marca 43;fornecedor prod43;mercearia;chocolate;267.30
231;5472.27;produto id5472.27;produto da marca 5472;fornecedor prod5472;bazar;roupa;137.55
232;4045.01;produto id4045.01;produto da marca 4045;fornecedor prod4045;mercearia;bebida;93.01
233;5769.91;produto id5769.91;produto da marca 5770;fornecedor prod5770;bazar;chocolate;76.74
234;2798.31;produto id2798.31;produto da marca 2798;fornecedor prod2798;mercearia;roupa;46.63
235;5958.92;produto id5958.92;produto da marca 5959;fornecedor prod5959;bazar;bebida;309.29
236;625.46;produto id625.46;produto da marca 625;fornecedor prod625;mercearia;chocolate;4.34
237;1482.83;produto id1482.83;produto da marca 1483;fornecedor prod1483;bazar;roupa;265.38
238;5972.27;produto id5972.27;produto da marca 5972;fornecedor prod5972;mercearia;bebida;219.50
239;3806.16;produto id3806.16;produto da marca 3806;fornecedor prod3806;bazar;chocolate;85.84
240;5019.41;produto id5019.41;produto da marca 5019;fornecedor prod5019;mercearia;roupa;181.71
241;3335.59;produto id3335.59;produto da marca 3336;fornecedor prod3336;bazar;bebida;509.80
242;1931.28;produto id1931.28;produto da marca 1931;fornecedor prod1931;mercearia;chocolate;296.44
243;3239.88;produto id3239.88;produto da marca 3240;fornecedor prod3240;bazar;roupa;164.10
244;2270.63;produto id2270.63;produto da marca 2271;fornecedor prod2271;mercearia;bebida;34.90
245;5454.23;produto id5454.23;produto da marca 5454;fornecedor prod5454;bazar;chocolate;218.18
246;1261.31;produto id1261.31;produto da marca 1261;fornecedor prod1261;mercearia;roupa;170.41
247;830.90;produto id830.90;produto da marca 831;fornecedor prod831;bazar;bebida;400.21
248;5167.23;produto id5167.23;produto da marca 5167;fornecedor prod5167;mercearia;chocolate;162.85
249;3394.76;produto id3394.76;produto da marca 3395;fornecedor prod3395;bazar;roupa;265.90
250;1808.11;produto id1808.11;produto da marca 1808;fornecedor prod1808;mercearia;bebida;573.85
251;5094.85;produto id5094.85;produto da marca 5095;fornecedor prod5095;bazar;chocolate;278.80
252;4091.01;produto id4091.01;produto da marca 4091;fornecedor prod4091;mercearia;roupa;127.23
253;1591.13;produto id1591.13;produto da marca 1591;fornecedor prod1591;bazar;bebida;111.56
254;478.21;produto id478.21;produto da marca 478;fornecedor prod478;mercearia;chocolate;295.01
255;3212.64;produto id3212.64;produto da marca 3213;fornecedor prod3213;bazar;roupa;171.13
256;1793.19;produto id1793.19;produto da marca 1793;fornecedor prod1793;mercearia;bebida;356.33
257;5838.43;produto id5838.43;produto da marca 5838;fornecedor prod5838;bazar;chocolate;72.11
258;4468.66;produto id4468.66;produto da marca 4469;fornecedor prod4469;mercearia;roupa;117.40
259;5358.98;produto id5358.98;produto da marca 5359;fornecedor prod5359;bazar;bebida;391.19
260;1723.93;produto id1723.93;produto da marca 1724;fornecedor prod1724;mercearia;chocolate;92.60
261;4451.62;produto id4451.62;produto da marca 4452;fornecedor prod4452;bazar;roupa;83.38
262;3591.02;produto id3591.02;produto da marca 3591;fornecedor prod3591;mercearia;bebida;43.87
263;1183.68;produto id1183.68;produto da marca 1184;fornecedor prod1184;bazar;chocolate;232.03
264;3287.90;produto id3287.90;produto da marca 3288;fornecedor prod3288;mercearia;roupa;237.29
265;4098.35;produto id4098.35;produto da marca 4098;fornecedor prod4098;bazar;bebida;580.04
266;5056.28;produto id5056.28;produto da marca 5056;fornecedor prod5056;mercearia;chocolate;63.49
267;2952.19;produto id2952.19;produto da marca 2952;fornecedor prod2952;bazar;roupa;188.31
268;2077.50;produto id2077.50;produto da marca 2078;fornecedor prod2078;mercearia;bebida;296.71
269;550.27;produto id550.27;produto da marca 550;fornecedor prod550;bazar;chocolate;36.41
270;284.25;produto id284.25;produto da marca 284;fornecedor prod284;mercearia;roupa;118.93
271;259.03;produto id259.03;produto da marca 259;fornecedor prod259;bazar;bebida;428.27
272;3732.92;produto id3732.92;produto da marca 3733;fornecedor prod3733;mercearia;chocolate;226.57
273;876.11;produto id876.11;produto da marca 876;fornecedor prod876;bazar;roupa;276.06
274;4408.50;produto id4408.50;produto da marca 4408;fornecedor prod4408;mercearia;bebida;198.43
275;49.78;produto id49.78;produto da marca 50;fornecedor prod50;bazar;chocolate;163.84
276;641.86;produto id641.86;produto da marca 642;fornecedor prod642;mercearia;roupa;268.72
277;1381.69;produto id1381.69;produto da marca 1382;fornecedor prod1382;bazar;bebida;223.90
278;4955.66;produto id4955.66;produto da marca 4956;fornecedor prod4956;mercearia;chocolate;105.85
279;5476.17;produto id5476.17;produto da marca 5476;fornecedor prod5476;bazar;roupa;38.97
280;2843.23;produto id2843.23;produto da marca 2843;fornecedor prod2843;mercearia;bebida;572.70
281;2121.24;produto id2121.24;produto da marca 2121;fornecedor prod2121;bazar;chocolate;63.49
282;3620.34;produto id3620.34;produto da marca 3620;fornecedor prod3620;mercearia;roupa;224.79
283;3142.07;produto id3142.07;produto da marca 3142;fornecedor prod3142;bazar;bebida;322.00
284;5459.17;produto id5459.17;produto da marca 5459;fornecedor prod5459;mercearia;chocolate;71.76
285;5357.54;produto id5357.54;produto da marca 5358;fornecedor prod5358;bazar;roupa;218.87
286;4345.77;produto id4345.77;produto da marca 4346;fornecedor prod4346;mercearia;bebida;362.11
287;4693.66;produto id4693.66;produto da marca 4694;fornecedor prod4694;bazar;chocolate;28.35
288;2410.86;produto id2410.86;produto da marca 2411;fornecedor prod2411;mercearia;roupa;30.70
289;4099.35;produto id4099.35;produto da marca 4099;fornecedor prod4099;bazar;bebida;275.13
290;1196.66;produto id1196.66;produto da marca 1197;fornecedor prod1197;mercearia;chocolate;94.38
291;3956.93;produto id3956.93;produto da marca 3957;fornecedor prod3957;bazar;roupa;248.31
292;3558.80;produto id3558.80;produto da marca 3559;fornecedor prod3559;mercearia;bebida;207.09
293;5976.68;produto id5976.68;produto da marca 5977;fornecedor prod5977;bazar;chocolate;288.30
294;2614.17;produto id2614.17;produto da marca 2614;fornecedor prod2614;mercearia;roupa;94.79
295;2220.04;produto id2220.04;produto da marca 2220;fornecedor prod2220;bazar;bebida;488.86
296;2166.92;produto id2166.92;produto da marca 2167;fornecedor prod2167;mercearia;chocolate;122.31
297;411.61;produto id411.61;produto da marca 412;fornecedor prod412;bazar;roupa;118.26
298;4742.89;produto id4742.89;produto da marca 4743;fornecedor prod4743;mercearia;bebida;151.77
299;2370.32;produto id2370.32;produto da marca 2370;fornecedor prod2370;bazar;chocolate;214.22
300;5067.28;produto id5067.28;produto da marca 5067;fornecedor prod5067;mercearia;roupa;294.33
301;3983.99;produto id3983.99;produto da marca 3984;fornecedor prod3984;bazar;bebida;295.82
